Name,Hours_Studied,Final_Score,Previous_Score,Attendance
STU_001,4.4,67,58,85
STU_002,9.6,100,97,96
STU_003,7.6,89.9,86,91
STU_004,6.4,74.8,69,83
STU_005,2.4,48.4,42,81
STU_006,2.4,55.3,53,78
STU_007,1.5,40.7,32,
STU_008,8.8,100,97,98
STU_009,6.4,83.6,76,90
STU_010,7.4,81.5,72,90
STU_011,1.2,36.9,32,80
STU_012,9.7,100,99,93
STU_013,,90.1,87,95
STU_014,2.9,62.2,59,86
STU_015,2.6,46.1,43,78
STU_016,2.7,51.7,50,79
STU_017,3.7,61,56,81
STU_018,5.7,73.6,66,86
STU_019,4.9,66.1,64,86
STU_020,3.6,63.4,58,84
STU_021,6.5,73,68,84
STU_022,2.3,51.5,46,84
STU_023,3.6,60.9,53,82
STU_024,4.3,67.2,66,89
STU_025,5.1,73.2,71,84
STU_026,8.1,82.6,79,88
STU_027,2.8,47.7,42,81
STU_028,5.6,79.1,77,87
STU_029,6.3,78.7,74,93
STU_030,1.4,42.9,37,77
STU_031,6.5,86.1,81,91
STU_032,2.5,54.1,,77
STU_033,1.6,53.8,45,
STU_034,9.5,97.2,92,92
STU_035,9.7,100,98,95
STU_036,8.3,98.2,,98
STU_037,3.7,59.7,58,79
STU_038,1.9,54.6,53,84
STU_039,7.2,85.9,79,90
STU_040,5,75.8,72,88
STU_041,2.1,46.2,38,79
STU_042,5.5,75.5,72,88
STU_043,1.3,51.4,48,83
STU_044,9.2,86.2,80,95
STU_045,3.3,52.5,44,85
STU_046,7,,,
STU_047,3.8,60.2,55,85
STU_048,5.7,76.9,76,92
STU_049,5.9,82.1,79,94
STU_050,2.7,55.1,53,86
STU_051,9.7,100,97,91
STU_052,8,80.7,73,85
STU_053,9.5,88.4,82,93
STU_054,9.1,94.1,89,90
STU_055,6.4,79.6,75,92
STU_056,9.3,95.5,86,96
STU_057,1.8,38.8,34,74
STU_058,2.8,54.9,47,78
STU_059,1.4,40.2,37,73
STU_060,3.9,65.5,62,84
STU_061,4.5,67.7,67,88
STU_062,3.4,54.4,51,79
STU_063,8.5,88.1,82,93
STU_064,4.2,58.7,58,83
