Name,Attendance,Previous_Score,Hours_Studied,Final_Score
STU_001,85.00,58.00,4.40,67.00
STU_002,96.00,97.00,9.60,100.00
STU_003,91.00,86.00,7.60,89.90
STU_004,83.00,69.00,6.40,74.80
STU_005,81.00,42.00,2.40,48.40
STU_006,78.00,53.00,2.40,55.30
STU_007,86.69,32.00,1.50,40.70
STU_008,98.00,97.00,8.80,100.00
STU_009,90.00,76.00,6.40,83.60
STU_010,90.00,72.00,7.40,81.50
STU_011,80.00,32.00,1.20,36.90
STU_012,93.00,99.00,9.70,100.00
STU_013,95.00,87.00,5.48,90.10
STU_014,86.00,59.00,2.90,62.20
STU_015,78.00,43.00,2.60,46.10
STU_016,79.00,50.00,2.70,51.70
STU_017,81.00,56.00,3.70,61.00
STU_018,86.00,66.00,5.70,73.60
STU_019,86.00,64.00,4.90,66.10
STU_020,84.00,58.00,3.60,63.40
STU_021,84.00,68.00,6.50,73.00
STU_022,84.00,46.00,2.30,51.50
STU_023,82.00,53.00,3.60,60.90
STU_024,89.00,66.00,4.30,67.20
STU_025,84.00,71.00,5.10,73.20
STU_026,88.00,79.00,8.10,82.60
STU_027,81.00,42.00,2.80,47.70
STU_028,87.00,77.00,5.60,79.10
STU_029,93.00,74.00,6.30,78.70
STU_030,77.00,37.00,1.40,42.90
STU_031,91.00,81.00,6.50,86.10
STU_032,77.00,66.99,2.50,54.10
STU_033,86.69,45.00,1.60,53.80
STU_034,92.00,92.00,9.50,97.20
STU_035,95.00,98.00,9.70,100.00
STU_036,98.00,66.99,8.30,98.20
STU_037,79.00,58.00,3.70,59.70
STU_038,84.00,53.00,1.90,54.60
STU_039,90.00,79.00,7.20,85.90
STU_040,88.00,72.00,5.00,75.80
STU_041,79.00,38.00,2.10,46.20
STU_042,88.00,72.00,5.50,75.50
STU_043,83.00,48.00,1.30,51.40
STU_044,95.00,80.00,9.20,86.20
STU_045,85.00,44.00,3.30,52.50
STU_046,86.69,66.99,7.00,71.94
STU_047,85.00,55.00,3.80,60.20
STU_048,92.00,76.00,5.70,76.90
STU_049,94.00,79.00,5.90,82.10
STU_050,86.00,53.00,2.70,55.10
STU_051,91.00,97.00,9.70,100.00
STU_052,85.00,73.00,8.00,80.70
STU_053,93.00,82.00,9.50,88.40
STU_054,90.00,89.00,9.10,94.10
STU_055,92.00,75.00,6.40,79.60
STU_056,96.00,86.00,9.30,95.50
STU_057,74.00,34.00,1.80,38.80
STU_058,78.00,47.00,2.80,54.90
STU_059,73.00,37.00,1.40,40.20
STU_060,84.00,62.00,3.90,65.50
STU_061,88.00,67.00,4.50,67.70
STU_062,79.00,51.00,3.40,54.40
STU_063,93.00,82.00,8.50,88.10
STU_064,83.00,58.00,4.20,58.70
STU_065,84.00,53.00,3.50,59.40
STU_066,85.00,72.00,5.90,79.40
STU_067,81.00,46.00,2.30,47.30
STU_068,92.00,85.00,8.20,91.40
STU_069,76.00,37.00,1.70,45.90
STU_070,94.00,90.00,9.90,95.40
STU_071,92.00,85.00,8.00,87.10
STU_072,77.00,42.00,2.80,50.20
STU_073,77.00,36.00,1.00,41.40
STU_074,89.00,76.00,8.30,83.50
STU_075,95.00,91.00,7.40,93.70
STU_076,91.00,80.00,7.60,85.30
STU_077,86.00,76.00,7.90,83.50
STU_078,78.00,43.00,1.70,49.60
STU_079,85.00,60.00,4.20,63.50
STU_080,79.00,46.00,2.00,49.30
STU_081,92.00,95.00,8.80,95.60
STU_082,89.00,77.00,6.60,82.70
