day,date,city,temperature_c,humidity_percent,sales,status
1,2024-01-01,Delhi,15.2,60,1200,ok
2,2024-01-02,Delhi,,62,1350,ok
3,2024-01-03,Delhi,16.8,-1,NA,ok
4,2024-01-04,Delhi,17.5,65,1500,unknown
5,2024-01-05,Delhi,,,1600,ok
6,2024-01-06,Delhi,18.9,70,-1,ok
7,2024-01-07,Delhi,19.4,72,1750,ok
8,2024-01-08,Mumbai,25.0,80,2000,ok
9,2024-01-09,Mumbai,NA,82,2100,unknown
10,2024-01-10,Mumbai,26.2,-1,2200,ok
11,2024-01-11,Mumbai,26.8,85,,ok
12,2024-01-12,Mumbai,,88,2400,ok
13,2024-01-13,Mumbai,28.1,90,2500,unknown
14,2024-01-14,Mumbai,29.0,91,2600,ok
15,2024-01-15,Bangalore,20.5,55,1800,ok
16,2024-01-16,Bangalore,-1,58,1900,ok
17,2024-01-17,Bangalore,21.4,NA,2000,ok
18,2024-01-18,Bangalore,22.0,60,NA,unknown
19,2024-01-19,Bangalore,,63,2200,ok
20,2024-01-20,Bangalore,23.1,65,2300,ok
